4.989669394469918862e-01,2.081381424050400553e-01,1.835758227376364515e-01,-8.212789071339009206e-03,1.958306627846920778e-01,-6.217451365806998809e-02,-2.868886995920856275e-01,-8.212789071339004002e-03,5.652854247199604609e-01,-6.048184759491056495e-01,1.659705483869940434e-01,-2.055035996161254652e-01,0.000000000000000000e+00
4.711548672480036504e-01,3.198777718141863069e-01,2.198492174432022106e-01,-2.495998297285711154e-01,2.566440829881409424e+00,-3.896186460497895965e+00,1.037947877820907250e+00,2.237548748976139756e-01,3.649198102845269354e+00,1.185657198337905172e+00,2.799034898233970114e+00,2.035820402949223951e+00,0.000000000000000000e+00
4.427721829772853224e-01,3.185035089556142451e-01,1.956023748067995949e-01,-2.376686972253279073e-01,1.747009223146896106e+00,-3.774157973207467709e+00,1.606020579724882325e+00,2.061505845011164795e-01,4.073382013512828692e+00,2.590742304291062670e-01,2.763120558618304745e+00,1.569335685323646645e+00,0.000000000000000000e+00
4.182615282781741439e-01,3.130753413992788392e-01,1.730121940134525804e-01,-2.286701346937611845e-01,1.090953621192167100e+00,-4.045525964506667904e+00,2.417148289960094232e+00,1.902632573656583559e-01,4.354213365219714582e+00,-6.264310643738236761e-01,2.646621297308018761e+00,1.081161003537886245e+00,0.000000000000000000e+00
3.950879745356556949e-01,3.123712385010634640e-01,1.539077857776418035e-01,-2.199559561266017094e-01,1.024996841639852718e+00,-4.535578313588772836e+00,2.868603867228820992e+00,1.756175348964654492e-01,4.732870530193383551e+00,-1.350509373603085539e+00,2.649622959508230569e+00,7.327381970820816548e-01,0.000000000000000000e+00
3.741389837186053224e-01,3.112329185873075610e-01,1.366077735898488799e-01,-2.124876465099267142e-01,1.164015009916170795e+00,-5.073327464446917290e+00,3.173352879822135097e+00,1.620255274139403012e-01,5.072415929038919913e+00,-2.007792713077497293e+00,2.649574191424739933e+00,4.150490245366970088e-01,0.000000000000000000e+00
3.556512892597069597e-01,3.074779085115018629e-01,1.204293755472563288e-01,-2.065801589916815006e-01,1.388563252695899086e+00,-5.699543008132109456e+00,3.490550869250459431e+00,1.493714976683996332e-01,5.316837189114557383e+00,-2.643001333955210974e+00,2.594300193956129430e+00,7.953566120323052324e-02,0.000000000000000000e+00
3.413135847430667225e-01,2.927498951897292701e-01,1.037198422172930096e-01,-2.039880143311329774e-01,1.741317736409699668e+00,-6.556793558302800307e+00,3.919133853412500201e+00,1.375736064612447518e-01,5.246254402686882479e+00,-3.395523587380728792e+00,2.291295671153446900e+00,-4.405648558472753384e-01,0.000000000000000000e+00
3.324556113131724722e-01,2.607858711158037024e-01,8.554745463757290613e-02,-2.060950718617330091e-01,1.343729283994498536e+00,-5.786789225701124195e+00,3.478498203919098586e+00,1.265697316702091291e-01,4.695124216147503304e+00,-4.367520461257500486e+00,1.596573073224205830e+00,-1.268969318334178364e+00,0.000000000000000000e+00
3.220627988510126327e-01,2.440123721515871646e-01,7.168624149771689325e-02,-2.059321014838178809e-01,1.664153324109178822e+00,-6.572883310887604580e+00,3.882863930158323651e+00,1.163100758572812310e-01,4.513986521471166746e+00,-5.042763445731008431e+00,1.246962418634963043e+00,-1.775739342894777639e+00,0.000000000000000000e+00
